<org.mule.util.store.ExpiryEntry.open, org.mule.util.store.ExpiryEntry.close>
<com.liferay.apio.architect.internal.wiring.osgi.manager.base.BaseManager.activate, com.liferay.apio.architect.internal.wiring.osgi.manager.base.BaseManager.deactivate>
<org.opencms.importexport.CmsExport.openExportFile, org.opencms.importexport.CmsExport.closeExportFile>
<fr.opensagres.xdocreport.document.textstyling.IDocumentHandler.startUnorderedList, fr.opensagres.xdocreport.document.textstyling.IDocumentHandler.endUnorderedList>
<net.sf.ehcache.CacheStatus.acquireWriteLockOnKey, net.sf.ehcache.CacheStatus.releaseWriteLockOnKey>
<com.netflix.zuul.netty.connectionpool.ServerPoolListener.acquire, com.netflix.zuul.netty.connectionpool.ServerPoolListener.release>
<org.oscim.tiling.source.mapfile.MultiMapFileTileSource.open, org.oscim.tiling.source.mapfile.MultiMapFileTileSource.close>
<redis.clients.jedis.BinaryClient.connect, redis.clients.jedis.BinaryClient.close>
<org.springframework.data.hadoop.hive.HiveServerFactoryBean.start, org.springframework.data.hadoop.hive.HiveServerFactoryBean.stop>
<com.ibatis.sqlmap.engine.impl.SqlMapSessionImpl.open, com.ibatis.sqlmap.engine.impl.SqlMapSessionImpl.close>
<com.sun.jdo.spi.persistence.support.sqlstore.PersistenceManager.acquireCacheLock, com.sun.jdo.spi.persistence.support.sqlstore.PersistenceManager.releaseCacheLock>
<org.apache.catalina.session.BaseSessionLocker.lockSession, org.apache.catalina.session.BaseSessionLocker.unlockSession>
<com.arjuna.ats.arjuna.StateManager.lockMutex, com.arjuna.ats.arjuna.StateManager.unlockMutex>
<ro.isdc.wro.manager.factory.BaseWroManagerFactory.create, ro.isdc.wro.manager.factory.BaseWroManagerFactory.destroy>
<com.microsoft.azure.sdk.iot.provisioning.device.transport.amqp.ReactorRunner.open, com.microsoft.azure.sdk.iot.provisioning.device.transport.amqp.ReactorRunner.close>
<org.mule.source.ClusterizableMessageSourceWrapper.start, org.mule.source.ClusterizableMessageSourceWrapper.stop>
<org.jgroups.protocols.MessageCache.startRetransmitTask, org.jgroups.protocols.MessageCache.stopRetransmitTask>
<org.h2.mvstore.tx.TMVMap.begin, org.h2.mvstore.tx.TMVMap.close>
<com.facebook.presto.spiller.FileSingleStreamSpillerFactory.create, com.facebook.presto.spiller.FileSingleStreamSpillerFactory.destroy>
<org.jboss.as.txn.service.JBossContextXATerminatorService.start, org.jboss.as.txn.service.JBossContextXATerminatorService.stop>
<com.yahoo.messagebus.shared.SharedIntermediateSession.connect, com.yahoo.messagebus.shared.SharedIntermediateSession.disconnect>
<com.espertech.esper.runtime.client.util.AdapterStateManager.start, com.espertech.esper.runtime.client.util.AdapterStateManager.stop>
<com.orientechnologies.orient.core.command.script.OScriptDocumentDatabaseWrapper.open, com.orientechnologies.orient.core.command.script.OScriptDocumentDatabaseWrapper.close>
<com.sun.jdo.spi.persistence.support.sqlstore.impl.ExtensionFilter.acquireCacheLock, com.sun.jdo.spi.persistence.support.sqlstore.impl.ExtensionFilter.releaseCacheLock>
<org.apache.cassandra.io.sstable.SimpleSSTableMultiWriter.create, org.apache.cassandra.io.sstable.SimpleSSTableMultiWriter.close>
<org.apache.hadoop.hdfs.CacheOutputStream.create, org.apache.hadoop.hdfs.CacheOutputStream.close>
<ch.qos.logback.core.net.server.ServerSocketAppenderBase.start, ch.qos.logback.core.net.server.ServerSocketAppenderBase.stop>
<org.easybatch.jms.BroadcastJmsQueueRecordWriter.open, org.easybatch.jms.BroadcastJmsQueueRecordWriter.close>
<org.sonar.api.utils.text.XmlWriter.begin, org.sonar.api.utils.text.XmlWriter.end>
<org.jboss.as.ee.component.deployers.BinderReleaseService.start, org.jboss.as.ee.component.deployers.BinderReleaseService.stop>
<org.mariadb.jdbc.client.socket.impl.UnixSocketOutputStream.connect, org.mariadb.jdbc.client.socket.impl.UnixSocketOutputStream.close>
